Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Akkodis,akkodis.com,"Akkodis is a global digital engineering company operating in the Smart Industry sector. The company provides comprehensive tech and engineering expertise, along with end-to-end talent management services, to help organizations accelerate innovation. Akkodis primarily serves sectors such as mobility, software & technology services, robotics, testing, simulations, data security, and AI & data analytics. It is based in Zug, Switzerland.","B2B, B2G, Fee-for-service",IT Services,IT Solutions & Software Development,,,689,3: Deploying,0.70%,1.99%,Switzerland,,,,,,24288,12.762896%,Alive / Active,,,
Synergist Technology,synergist.technology,"Synergist Technology specializes in AI governance and compliance within the technology sector. The company offers the AFFIRM platform, which aids audit and consulting firms in managing AI governance for various organizations, ensuring proactive monitoring of AI policies and assets to detect compliance and model risks. Synergist Technology's solutions are designed to prepare organizations for the AI revolution by assessing employee awareness, identifying risks, understanding AI systems, auditing learning modes, and ensuring accountability. It was founded in 2023 and is based in Fort Lauderdale, Florida.","B2B, SaaS",Internet Software & Services,Compliance,,,690,3: Deploying,0.43%,4.40%,United States,5.00,,5.00,Seed,2024-05-01,12,500%,Alive / Active,2023,,
Protexxa,protexxa.com,"Protexxa serves as a B2B SaaS cybersecurity platform that specializes in leveraging Artificial Intelligence to protect corporate networks. The company offers a suite of services that includes identifying online threats, evaluating and predicting vulnerabilities, and providing resolution support to mitigate cyber risks. Protexxa primarily serves businesses looking to enhance their cybersecurity measures. It was founded in 2021 and is based in Aurora, Canada.","B2B, Fee-for-service, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,690,,0.44%,14.58%,Canada,10.10,"Deloitte Ventures, Annette Verschuren, BKR Capital, Jeff Fettes, Leen Li, The Firehood Angels, Bell Ventures, Export Development Canada, Graphite Ventures, Sandpiper Ventures",7.20,Series A,2024-07-23,117,77.27273%,Alive / Active,2021,,
IPtoki,iptoki.com,"IPtoki specializes in advanced identification intelligence within the cybersecurity sector. The company offers a digital identity validation solution that operates continuously using multimodal behavioral biometrics, distributed ledger technology, and machine learning algorithms. IPtoki primarily serves sectors that require robust digital identity verification and security measures. It was founded in 2018 and is based in Montreal, Quebec.","B2B, SaaS, Usage-based",Science & Engineering,,Artificial Intelligence,,178,,0.50%,9.99%,Canada,,"Canadian Technology Accelerator in Boston, Atos Scaler Accelerator",,Incubator/Accelerator - II,2021-07-21,12,-29.411764%,Alive / Active,2018,,
Nucleon Security,nucleon-security.com,"Nucleon Security is a cybersecurity specialist that operates in the technology and security sectors. The company offers a platform known as Nucleon Smart Endpoint, which uses artificial intelligence and multilayer zero-trust technologies to provide endpoint protection, block attacks, prevent data leaks, and manage vulnerabilities. The platform primarily serves the cybersecurity industry. It was founded in 2019 and is based in Paris, France.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,501,3: Deploying,0.52%,9.07%,France,,,,,,18,20%,Alive / Active,2019,,
NuEnergy.ai,nuenergy.ai,"NuEnergy.ai is a company that focuses on artificial intelligence (AI) and technology in the professional services sector. The company offers solutions that deliver principled AI and tech, including an AI governance framework, education services, and a Machine Trust Platform that monitors the trustworthiness of an organization's AI development and implementation. NuEnergy.ai primarily serves governments, banks, healthcare institutions, and business leaders. It was founded in 2015 and is based in Ottawa, Ontario.","B2B, B2G, Fee-for-service, SaaS",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",,,550,3: Deploying,0.59%,5.86%,Canada,,,,,,22,10%,Alive / Active,2015,,
Parcoor,parcoor.com,"Parcoor specializes in IoT protection and cybersecurity within the embedded systems industry. The company offers embedded software solutions that provide predictive maintenance and cybersecurity, including real-time monitoring and threat detection using machine learning algorithms. Parcoor's technology is designed to enhance the security and performance of connected devices across various sectors. It was founded in 2019 and is based in Lyon, France.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Grid and Utility,,235,3: Deploying,0.42%,5.22%,France,,"Software Republique Incubator, Sharpstone Capital",,Seed VC,2022-06-01,4,-20%,Alive / Active,2019,,
SkillCodex,skillcodex.com,"SkillCodex is an educational technology platform. The platform offers a selection of courses in key tech areas, including cyber security, AI, programming, and gaming. It was founded in 2021 and is based in Jaipur, Rajasthan.","B2C, Fee-for-service, SaaS",Internet Software & Services,Education & Training,,,,2: Validating,,,India,,Rajiv Gandhi Innovation Award,,,,0,0%,Alive / Active,2021,,
Rayz Technologies,rayz.ai,"Rayz Technologies is a laser ranging lens and audiovisual AI accessories company that provides products such as ranging lenses, sound arrays, and audio-visual AI-embedded software. It offers its solutions in the fields of lidar, autonomous driving, robots, security monitoring, artificial intelligence, and other industries. The company was founded in 2018 and is based in Beijing, China.","B2B, Manufacturer",Science & Engineering,,"Robotics, Artificial Intelligence",,242,,0.88%,10.83%,China,,"NavInfo, China Fortune-Tech Capital, Flyfot Ventures, Juntong Capital, Qian Dao Fund, Qiyu Chuangying",,Series A,2023-10-19,,0%,Alive / Active,2018,,
Nokod Security,nokodsecurity.com,"Nokod Security specializes in application security for low-code and no-code platforms within the cybersecurity industry. The company offers a security platform that automatically detects vulnerabilities, compliance issues, and provides remediation guidance for applications and Robotic Process Automation (RPA). Nokod Security primarily serves sectors that utilize low-code/no-code development tools and RPA technologies. It was founded in 2023 and is based in Tel Aviv, Israel.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,649,3: Deploying,0.43%,4.92%,Israel,8.00,"Acrew Capital, Flint Capital, Meron Capital",8.00,Seed VC,2023-06-29,20,66.666664%,Alive / Active,2023,,
Scylla,scylla.ai,"Scylla provides a physical threat detection solution combined with object classification. The company offers a range of artificial intelligence-powered video analytics solutions, including object detection, behavior anomaly detection, and threat recognition.  Its services primarily cater to sectors such as school security, retail security, industrial security, healthcare security, and airport security. The company was founded in 2018 and is based in Austin, Texas.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Robotics, Artificial Intelligence, Aerospace & Space Tech",AI-powered video security monitoring (Enterprise Tech),468,3: Deploying,0.46%,8.41%,United States,6.26,"Startupbootcamp IoT, BAJ Accelerator, Hustle Fund, Mucker Capital",0.50,Debt,2023-02-22,98,-1.010101%,Alive / Active,2018,,
DeTaSECURE,detasecure.com,"DeTaSECURE is a cyber security service provider focused on protecting data and digital assets within various business sectors. The company offers services such as data breach monitoring, vulnerability assessments, penetration testing, and a suite of security solutions aimed at early detection and prevention of cyber threats. DeTaSECURE caters to industries such as finance, e-commerce, healthcare, insurance, and telecommunications. It was founded in 2021 and is based in Bangalore, India.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,263,,0.43%,4.08%,India,,Graviton,,Incubator/Accelerator,2023-05-09,4,-20%,Alive / Active,2021,,
AI and Partners,ai-and-partners.com,"AI and Partners is a professional services firm that focuses on the artificial intelligence (AI) sector. The company offers advisory services, compliance program implementation, assessments, and technology solutions to help clients understand and comply with the European Union (EU) AI Act. Primarily, AI and Partners caters to businesses that develop, use, import, deploy, operate, and interact with AI systems. It was founded in 2021 and is based in Amsterdam,  Netherlands.","B2B, Fee-for-service",IT Services,IT Solutions & Software Development,,,460,3: Deploying,0.43%,3.46%,Netherlands,,,,,,12,100%,Alive / Active,2021,,
RPA Next,rpanext.co.jp,"RPA Next specializes in providing robotic process automation (RPA) solutions and business process consulting across various industries. The company offers services that include RPA implementation, AI-powered email security for Microsoft 365 users, and e-learning programs designed to enhance business efficiency and security. They also provide IT education through webinars aimed at beginners. It is based in Tokyo, Japan.","B2B, Fee-for-service, SaaS",IT Services,IT Solutions & Software Development,Robotic Process Automation,,,,0.58%,8.37%,Japan,,K&P Partners,,,,,0%,Alive / Active,,,
Anima,anima-ey.com,"Anima offers an AI-based screening solution to detect childhood sexual abuse. Its main objective is to identify sexual abuse in minors and provide the victim with appropriate treatment. The company was founded in 2017 and is based in Tel Aviv, Israel.","B2B, SaaS",Internet Software & Services,Health & Wellness,,,233,,0.48%,7.94%,Israel,,"Sarona Partners, Sarona Ventures, The TELUS Community Safety and Wellness Accelerator",,Incubator/Accelerator,2022-01-24,1,-50%,Alive / Active,2017,,
Enzai,enz.ai,"Enzai is a company that specializes in AI governance, providing a software platform for organizations to manage AI risks and ensure regulatory compliance. The company offers a suite of tools for assessing AI systems, implementing policy frameworks, and managing AI registries to help businesses navigate and comply with emerging regulations and standards. Enzai's platform is designed to streamline the compliance process, offering features such as automated model data import, model validation and monitoring, and AI system compliance tracking. It was founded in 2021 and is based in Belfast, Northern Ireland.","B2B, SaaS",Internet Software & Services,Data & Document Management,Artificial Intelligence,,602,3: Deploying,0.45%,6.01%,United Kingdom,4.00,"Alexandre Berriche, Cavalry Ventures, Jonathan Kewley, Paul Forster, Sam Gill, Seedcamp, Techstart Ventures",4.00,Seed VC,2023-09-05,11,37.5%,Alive / Active,2021,,
SAIF CHECK,saifcheck.ai,"SAIF CHECK specializes in artificial intelligence (AI) risk assessment and auditing within the technology sector. The company offers services to evaluate and certify AI solutions for safety, security, compliance, and trustworthiness. SAIF CHECK primarily serves businesses that utilize artificial intelligence technologies. It was founded in 2023 and is based in Riyadh, Saudi Arabia.","B2B, Fee-for-service",Internet Software & Services,Compliance,,,366,1: Emerging,0.44%,3.25%,Saudi Arabia,0.18,Antler,0.18,Pre-Seed,2024-02-29,7,0%,Alive / Active,2023,,
Imperva,imperva.com,"Imperva helps organizations protect critical applications, application programming interface(APIs), and data. It seeks to improve endpoint and network security by directly protecting applications and data assets in physical and virtual data centers. The firm develops an integrated security platform to provide the visibility and control needed to neutralize attack, theft, and fraud from inside and outside the organization, mitigate risk, and streamline compliance. The firm serves the insurance, technology, hospitality, academic, and healthcare industries. It was founded in 2002 and is based in San Mateo, California. In July 2023, Imperva was acquired by Thales at a valuation of $3.6B.",,Internet Software & Services,Monitoring & Security,Cybersecurity,"Bot management (Enterprise Tech), Web application & API protection (WAAP) (Enterprise Tech), Web application firewalls (WAF) (Enterprise Tech), Content delivery networks (CDN) (Enterprise Tech)",,,,,United States,77.16,"Accel, Shlomo Kramer, U.S. Venture Partners, Venrock, Greylock Partners, Meritech Capital Partners, Thoma Bravo, Thales",28.16,Private Equity,2019-07-12,1724,-1.0900745%,Acquired,2002,,
Penemue,penemue.ai,"Penemue is an artificial intelligence to protect democracies. The company develops technology to combat hate speech online, digital violence, and disinformation. It combines its special abilities in linguistics with AI to build the best natural language understanding models and to make the world a better place. It was founded in 2023 and is based in Freiburg im Breisgau, Germany.","B2B, B2G, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,Cybersecurity,,,1: Emerging,0.44%,7.33%,Germany,,Media Lab Bayern,,,,4,100%,Alive / Active,2023,,
Vastcom Technology,vastcomtech.com,"Vastcom Technology is a provider of ICT solutions and a partner for digital transformation across various sectors. The company offers services such as cyber security, AI-driven automation, technical support, managed services, and cloud infrastructure solutions. Vastcom primarily serves the hospitality, banking, gaming, and government sectors. It is based in Macau, Macau.","B2B, B2G, Fee-for-service, SaaS",IT Services,IT Solutions & Software Development,,,,3: Deploying,0.51%,44.23%,Macau,,,,,,48,29.72973%,Alive / Active,,,
Nicoll Curtin,nicollcurtin.com,"Nicoll Curtin is a recruitment agency that specializes in the technology and change sectors. The company connects candidates with companies and offers services such as talent acquisition, job placement, and staffing solutions across various disciplines, including software development, cloud and infrastructure, data, AI, cyber security, and digital marketing. Nicoll Curtin primarily serves the technology and change management sectors. It was founded in 1999 and is based in Beograd, Republic of Serbia.","B2B, Fee-for-service",Internet Software & Services,HR & Workforce Management,,,,,0.74%,9.33%,"Serbia, Republic of",,Red Herring North America 100 award,,,,109,9%,Alive / Active,1999,,
German University of Technology in Oman,gutech.edu.om,"The German University of Technology in Oman is an institution of higher education with an academic affiliation with RWTH Aachen University, focusing on technology and engineering education. It offers a range of undergraduate and graduate programs in fields such as environmental engineering, computer science, cyber security, artificial intelligence, and urban planning. The university caters to students seeking internationally recognized degrees in various engineering and technological disciplines. It was founded in 2007 and is based in Muscat, Oman.","B2C, Fee-for-service",Education & Training (non-internet/mobile),Colleges & Universities,,,,,,,Oman,,,,,,,0%,Alive / Active,2007,,
EXPLIoT,expliot.io,"EXPLIoT is a company specializing in automated and intelligent device security and compliance assessment within the cybersecurity sector. The company offers a platform that provides automated vulnerability scans, compliance management, and risk assessment for IoT products. EXPLIoT primarily serves sectors such as cybersecurity consulting firms, certification labs, device manufacturers, enterprise corporations, and government organizations. It was founded in 2019 and is based in The Hague, Netherlands.","B2B, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,Cybersecurity,,,,0.46%,8.88%,Netherlands,,,,,,8,-27.272728%,Alive / Active,2019,,
Arcules,arcules.com,"Arcules provides cloud-based video surveillance and access control solutions. The company's main offerings include AI-driven video surveillance as a service (VSaaS), advanced analytics for actionable insights, and remote access control systems for physical sites. Arcules was formerly known as Arcus. It was founded in 2017 and is based in Irvine, California. In July 2024, Arcules merged with Milestone Systems.",,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Conference Exhibitors,,,,,,United States,,"Milestone Systems, Canon",,,,101,13.483146%,Merged,2017,,
Cyberillium,cyberillium.com,"Cyberillium focuses on advanced cybersecurity solutions within the technology sector. They offer services such as vulnerability discovery in proprietary systems, adversarial simulation, and specialized technology research to enhance clients' security posture. Cyberillium primarily serves large SaaS vendors, financial institutions, and organizations with high-risk threat profiles. It was founded in 2021 and is based in Tel Aviv, Israel.","B2B, B2G, Fee-for-service",Internet Software & Services,Monitoring & Security,Cybersecurity,,,2: Validating,0.44%,4.19%,Israel,,,,,,16,-33.333332%,Alive / Active,2021,,
Digiware,digiware.net,"Digiware specializes in cybersecurity solutions within the technology sector. The company offers managed security services and advanced security solutions that leverage machine learning and human intelligence to detect and respond to cyber threats. Digiware primarily serves sectors that require robust digital security and cyber defense capabilities. It is based in Bogota, Colombia.","B2B, Fee-for-service, SaaS",IT Services,Data Storage & Security,Cybersecurity,,,,0.49%,6.56%,Colombia,,Promotora,,,,0,0%,Alive / Active,,,
BlueHalo,bluehalo.com,"BlueHalo is a company focused on developing advanced defense technologies and solutions within the global defense sector. They offer a range of products and services designed for space operations, counter unmanned aerial systems (C-UAS), autonomous systems, electronic warfare, cyber security, and artificial intelligence capabilities. Their solutions are aimed at national security and supporting critical missions by providing cutting-edge technologies for space domain awareness, orbital warfare, threat mitigation, and battlefield intelligence. It was founded in 2019 and is based in Arlington, Virginia.","B2B, B2G, Manufacturer",Aerospace & Defense,,Defense Tech,"Counter-unmanned systems (C-UxSs) (Industrials), Signals intelligence (SIGINT) (Industrials)",514,5: Established,1.11%,12.39%,United States,,Arlington Capital Partners,,Private Equity,2019-01-01,931,30.575035%,Alive / Active,2019,,
Trantor,trantorinc.com,"Trantor is a company specializing in enterprise technology solutions and CaptiveCoE™ development within the IT consulting sector. The company offers a range of services including digital transformation assistance, cloud strategy, application modernization, AI/ML implementation, and security and compliance. Trantor primarily serves sectors such as fintech, martech, e-commerce, and enterprises looking to leverage cloud computing and automation. It was founded in 2012 and is based in Menlo Park, California.","B2B, Fee-for-service",IT Services,IT Solutions & Software Development,,,,4: Scaling,0.46%,7.52%,United States,,,,,,761,-7.8692493%,Alive / Active,2012,,
H3C,h3c.com,"H3C provides a portfolio of digital infrastructure products, spanning across compute, storage, networking, 5G, security, terminal, and related domains. It also offers a digital platform that includes cloud computing, big data, Artificial Intelligence (AI), industrial internet, information security, intelligent connectivity, and edge computing, as well as end-to-end technical services. The company was founded in 2003 and is based in Hangzhou, China. In January 2023, H3C was acquired by Tsinghua Unisplendour Corporation. The terms of the transaction were not disclosed.",,Servers & Mainframes,,Defense Tech,Network detection & response (NDR) (Enterprise Tech),,,,,China,,"Tsinghua Unisplendour Shunfeng Investment, Hewlett-Packard, Tsinghua Unisplendour Corporation",,Corporate Minority,2015-05-21,,0%,Acquired,2003,,
BeyondSoft,beyondsoft.com,"Beyondsoft Consulting Inc. specializes in business IT solutions and consulting, focusing on digital transformation and cloud services across various industries. The company offers a range of services including cloud adoption, digital strategy, cloud migration, modern workplace solutions, data and AI modernization, agile operations, security, and business process management. Beyondsoft primarily serves sectors that require advanced IT and cloud solutions, such as the financial services industry and technology-driven enterprises. It was founded in 1995 and is based in Beijing, Beijing.","B2B, Fee-for-service, SaaS",,,,,,,,,China,,China Soft Capital,,,,,0%,IPO / Went public,1995,,
DT42,dt42.io,"DT42 is a technology company that focuses on artificial intelligence and deep learning within the tech industry. The company offers services such as an auto-labeling platform, a user-friendly web interface for training AI models, optimization packages for AI models, and customizable AI consulting. These services are primarily aimed at sectors that require machine vision and AI applications, such as home security, urban development, customer experience management, and wildlife protection. It is based in Taipei, Taiwan.","B2B, Fee-for-service, SaaS",Science & Engineering,,,,,,0.65%,27.09%,Taiwan,,,,,,5,0%,Alive / Active,,,
Greelance,greelance.com,"Greelance offers a decentralized freelance marketplace that leverages blockchain and artificial intelligence technologies. The company connects businesses with a global network of technology professionals for services such as software engineering, data center security, and AI development. It offers a token-based economy with its native GRL token, which is used for transactions, governance, and accessing premium features on the platform. It was founded in 2022 and is based in Austin, Texas.","B2B, Commission, Marketplace, Usage-based",E-Commerce,Marketplace,,,,1: Emerging,0.44%,1.85%,United States,,,,,,9,28.571428%,Alive / Active,2022,,
SecurityStockWatch.com,securitysolutionswatch.com,"SecurityStockWatch.com is a platform focused on delivering news and analysis within the security industry. The company provides insights into security solutions, including AI weapons detection and cybersecurity services. SecurityStockWatch.com serves as a resource for security industry updates, offering research reports and expert interviews. Its main offerings include providing a comprehensive overview of the latest in network security, homeland security, and advancements in related technologies such as AI, IT, IoT, and robotics. It was founded in 1999 and is based in Rye Brook, New York.","Advertising, B2B",Internet Software & Services,Information Providers & Portals,,,,,0.55%,14.33%,United States,,,,,,,0%,Alive / Active,1999,,
GoLearn,golearn.dk,"GoLearn is a company focused on providing online courses in various fields, operating in the e-learning industry. The company offers a range of online courses that cover areas such as leadership, Microsoft Office 365, online marketing, performance and well-being, GDPR, sales, anti-corruption, IT security, and AI. These courses are primarily targeted at businesses, with a particular emphasis on the corporate sector. It was founded in 2017 and is based in Soborg, Denmark.","B2B, Fee-for-service, SaaS",Internet Software & Services,Education & Training,,,162,3: Deploying,0.65%,9.06%,Denmark,,Martin Thorborg,,Angel,2018-02-07,65,14.035088%,Alive / Active,2017,,
PureML,pureml.com,"PureML is a company specializing in AI governance, risk management, and compliance for enterprises. They offer a comprehensive platform that provides tools for automating compliance, managing risks, and ensuring enterprise-grade control over AI systems, including generative AI and large language models. The platform is designed to integrate with an organization's existing tech stack, offering a single source of truth for AI initiatives and enabling streamlined reporting and monitoring for compliance adherence. It was founded in 2022 and is based in Santa Clara, California.","B2B, SaaS",Internet Software & Services,,,,433,3: Deploying,0.41%,1.11%,United States,,,,,,7,0%,Alive / Active,2022,,
Inter Computer Romania,intercomputer.ro,"Inter Computer Romania is a private IT systems integrator. It focuses on IBM technology solutions. The company offers a wide range of services, including server and mainframe systems, data storage, system integration, security, artificial intelligence, business operations, IT operations automation, and various consultation services. Inter Computer Romania is a subsidiary of the Inter Computer Group. It was founded in 2024 and is based in Bucharest, Romania.","B2B, Fee-for-service",IT Services,IT Management & Helpdesk,,,,1: Emerging,0.51%,2.75%,Romania,,,,,,,0%,Alive / Active,2024,,
Finch AI,finchcomputing.com,"Finch AI specializes in artificial intelligence solutions. It offers AI services that enable organizations to analyze data patterns, anticipate market changes, and enhance operational efficiency. Finch AI primarily caters to the national security, public, and finance industries. It was founded in 2016 and is based in Reston, Virginia.","B2B, B2G",IT Services,IT Solutions & Software Development,,,,,0.64%,7.85%,United States,,AWS ISV Accelerate Program,,,,,0%,Alive / Active,2016,,
SEC eDGE,secedge.com,"SEC eDGE provides a digital security platform. The company offers advanced security solutions for edge AI, compute, control, and cloudsim applications, and chip-to-cloud security. Its solutions address critical issues in IoT deployments, including devices, supply chains, and cloud security. It was founded in 2023 and is based in Fall City, Washington.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Advanced Manufacturing, Cybersecurity",IoT security (Enterprise Tech),464,3: Deploying,0.45%,32.73%,United States,,"Privafy, Raptor Group",,Series A,2023-11-02,0,0%,Alive / Active,2023,,
NodeSocket,nodesocket.com,"NodeSocket specializes in the development and operation of web software and service products within the technology sector. The company offers a range of services, including managing crypto and securities with AI, as well as managed DevOps, cloud computing, and infrastructure solutions. NodeSocket primarily serves sectors that require web-based software and cloud computing services. It was founded in 2010 and is based in Nashville, Tennessee.","B2B, SaaS, Usage-based",IT Services,,,,,,0.77%,13.70%,United States,,,,,,1,0%,Alive / Active,2010,,
Dallmeier,dallmeier.com,"Dallmeier is a company focused on video security technology in sectors such as safe city, airports, industry, logistics, and casinos. The company offers a range of products and solutions including camera systems, recording and storage solutions, video analytics and AI, privacy and security solutions, and video management software. Dallmeier primarily sells to various industries worldwide including stadiums, casinos, airports, ports, industrial and commercial users, cities, and logistics companies. It was founded in 1984 and is based in Regensburg, Germany.","B2B, B2G, Manufacturer",Computer Storage & Peripherals,Printing & Imaging Equipment,,,544,4: Scaling,0.44%,4.64%,Germany,,,,,,142,3.649635%,Alive / Active,1984,,
Orango,orango.se,"Orango is a company that specializes in leveraging technology to foster meaningful connections and operates within the IT services and solutions sector. The company offers a range of services including business systems, customer engagement, modern work solutions, data and AI, cloud and security infrastructure, and custom application development. Orango primarily serves sectors such as automotive, construction, food and beverage, manufacturing, retail, trade and logistics, and waste and recycling. It was founded in 2011 and is based in Malmo, Sweden.","B2B, Fee-for-service, SaaS",IT Services,IT Solutions & Software Development,,,,,,,Sweden,,FSN Capital,,,,,0%,Alive / Active,2011,,
Atlantic Business Technologies,atlanticbt.com,"Atlantic Business Technologies specializes in digital strategy, web design, and software development services. The company offers a range of services including custom website creation, e-commerce solutions, cloud hosting, performance and security enhancements, and AI strategy and consulting. Atlantic BT primarily serves sectors that require robust digital presence and software solutions, such as e-commerce and educational institutions. It was founded in 1998 and is based in Raleigh, North Carolina.","B2B, Fee-for-service",IT Services,,,,,4: Scaling,0.63%,4.78%,United States,,,,,,45,-4.255319%,Alive / Active,1998,,
Eviden,eviden.com,"Eviden is a next-gen technology leader focused on data-driven, trusted, and sustainable digital transformation within the technology sector. The company offers a suite of services including advanced computing, cloud solutions, digital security, generative AI, sustainability initiatives, and smart platform integration. Eviden primarily serves various industries such as energy, healthcare, finance, manufacturing, public sector, retail, and telecommunications.",,IT Services,IT Solutions & Software Development,Defense Tech,Battle management systems (BMS) (Industrials),,3: Deploying,,,France,,,,,,19174,27.427395%,Alive / Active,,,
Swifteam,swifteam.com,"Swifteam specializes in unified device management and compliance automation within the IT sector. The company offers solutions for device security, access management, and AI-powered tools to streamline IT operations for remote workforces. Swifteam's products are designed to simplify onboarding and offboarding processes, ensure device compliance, and integrate with various HR systems. It was founded in 2019 and is based in Santa Clara, California.","B2B, SaaS",Internet Software & Services,HR & Workforce Management,,,200,,0.42%,5.33%,United States,0.50,"Root & Shoot Ventures, Y Combinator",0.50,Convertible Note,2020-01-01,0,0%,Alive / Active,2019,,
TurnRock Labs,turnrocklabs.com,"TurnRock Labs focuses on robotics and automation within the technology sector. The company offers product development services, specializing in robotics, automation, cyber security, AI/ML, aerial technology, and mechanical & electrical design, as well as expertise in writing proposals for Small Business Innovation Research (SBIR) contracts. TurnRock Labs primarily serves businesses seeking advanced automation and robotics solutions. It was founded in 2020 and is based in Seattle, Washington.","B2B, Fee-for-service",Internet Software & Services,Science & Engineering,,,238,,0.47%,6.73%,United States,,"Hyperspace Challenge, The Catalyst Accelerator Colorado Springs",,Incubator/Accelerator - II,2022-02-07,4,0%,Alive / Active,2020,,
Mindpool Technologies,mindpooltech.com,"Mindpool Technologies is a leading IT Strategy & Consulting organization in the technology and IT consulting sectors. The company offers a range of services including digital transformation, cloud security, data solutions, and AI technology implementation. Mindpool Technologies specializes in web and mobile application development, as well as digital marketing strategies, providing custom-built solutions on the latest tech platforms to a diverse range of industries. It was founded in 2011 and is based in Pune, India.","B2B, Fee-for-service",HR & Staffing,,,,,,,,India,,,,,,,0%,IPO / Went public,2011,,
AidaMask,aidamask.com,"AidaMask is an AI-driven software-as-a-service (SaaS) platform. It specializes in data privacy and security. It is a security middleware that provides a zero-trust SaaS solution for secure, compliant artificial intelligence integration. It is compliant with GDPR and data governance. AidaMask was founded in 2023 and is based in Milan, Italy.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,,,0.43%,3.60%,Italy,,FoolFarm,,,,0,0%,Alive / Active,2023,,
Measured Insurance,measuredinsurance.com,"Measured Insurance is a company that focuses on cyber insurance in the insurance industry. The company offers cyber insurance solutions that utilize proprietary, AI-rich data analytics and national security grade threat intelligence to help businesses manage their cyber risks. These solutions are designed to make businesses more secure by quantifying their specific exposure to cyber threats such as ransomware attacks. It was founded in 2018 and is based in Salt Lake City, Utah.","B2B, Fee-for-service, SaaS",Internet Software & Services,Monitoring & Security,"Fintech, Insurtech","Digital cyber insurance providers (Insurance), Insurtech managing general agents — cyber (Insurance)",377,3: Deploying,0.50%,32.88%,United States,,"AV8 Ventures, Origin Ventures, Royal Street Ventures, Signal Peak Ventures, Silicon Valley Data Capital",,Seed VC,2021-09-16,15,-34.782608%,Alive / Active,2018,,
Avoki,avoki.com,"Avoki specializes in providing IT solutions across various sectors, focusing on sustainable, intelligent, and efficient technology. The company offers a range of services including IT security, artificial intelligence, IT infrastructure, data analysis, cloud solutions, and advanced meeting technology. Avoki primarily serves businesses looking to enhance their IT environment with secure, efficient, and sustainable solutions. It was founded in 1993 and is based in Oslo, Norway.","B2B, Fee-for-service, SaaS",IT Services,IT Solutions & Software Development,,,,,0.50%,25.50%,Norway,,,,,,485,0%,Alive / Active,1993,,
Squalio,squalio.com,"Squalio is a company focused on IT and data services, specializing in software licensing and software asset management, as well as providing cloud and data services. The company offers a range of services including software acquisition, deployment, training, and support, along with advanced data analytics, AI solutions, and IT security assessments. Squalio primarily serves sectors that require secure and effective IT management and are looking to develop their business strategy through technological innovation. It is based in Riga, Latvia.","B2B, Fee-for-service",Consulting & Outsourcing,Project Management,,,,,0.58%,7.76%,Latvia,,,,,,225,-3.4334764%,Alive / Active,,,
Novo Technologies,novo.gr,"Novo Technologies is a distributor and provider of specialized digital video surveillance solutions in the security systems industry. The company offers advanced and reliable products including security cameras, recording devices, and software for video management and analytics, emphasizing technical support for their wholesale network and partners. Novo Technologies tailors functional solutions for complex security requirements, leveraging artificial intelligence and other cutting-edge technologies. It was founded in 2005 and is based in Athens, Greece.","B2B, Retailer",Security Products,Security & Monitoring Equipment,,,,,0.95%,49.11%,Greece,,,,,,7,16.666666%,Alive / Active,2005,,
Calsoft,calsoftinc.com,"Calsoft is a technology-first company focused on digital and product engineering services in the software industry. The company offers a range of services including software product development, cloud solutions, AI/ML applications, Internet of Things (IoT) solutions, and DevOps consulting. It primarily serves sectors such as storage, virtualization, networking, security, cloud, AI/ML, IoT, and telecommunications. It is based in San Jose, California.","B2B, Fee-for-service",IT Services,,,,516,3: Deploying,1.05%,12.43%,United States,,,,,,1330,-2.277737%,Alive / Active,,,
PIABO Communications,piabo.net,"PIABO Communications is a full-service communications agency with a focus on the digital economy. The company offers a suite of services including public relations, social media management, brand strategy, content marketing, and influencer relations, aimed at enhancing international media presence for its clients. PIABO Communications primarily serves sectors such as E-Commerce, Adtech, Traveltech, Fintech, Foodtech, HR-tech, Healthtech, Blockchain, Consumer Electronics & Business Hardware, IoT, Artificial Intelligence, AR/VR, Security, Big Data, SaaS/Cloud, and Greentech. It is based in Berlin, Germany.","B2B, Fee-for-service","Advertising, Marketing & PR",,,,,,0.52%,31.10%,Germany,,,,,,0,0%,Alive / Active,,,
